category,rank,keyword,change_trend,rocket_count,total_products,avg_price,max_reviews,grade
생활/주방,1,금고,-,3,10,258579,0,S
생활/주방,2,텀블러,-,10,10,28575,0,A
생활/주방,3,스타벅스텀블러,-,4,10,84600,0,S
생활/주방,4,비데,-,8,10,221155,0,A
생활/주방,5,안마의자,-,10,10,2551413,0,A
생활/주방,6,빨래건조대,-,8,10,41672,0,A
생활/주방,7,식기건조대,-,10,10,90931,0,A
생활/주방,8,분리수거함,-,5,10,292678,0,A
생활/주방,9,필통,-,9,10,21433,0,A
생활/주방,10,차량용방향제,-,9,10,32740,0,A
생활/주방,11,멀티탭,-,6,10,44568,0,A
생활/주방,12,수건,-,7,10,127593,0,A
생활/주방,13,싱크대수전,-,9,10,64079,0,A
생활/주방,14,캣타워,-,10,10,137064,0,A
생활/주방,15,수저세트,-,9,10,39450,0,A
생활/주방,16,샤워기헤드,-,10,10,21168,0,A
생활/주방,17,뉴타입,-,9,10,48790,0,A
생활/주방,18,빨래바구니,-,9,10,30845,0,A
생활/주방,19,세면대,-,1,10,111270,0,S
생활/주방,20,네임스티커,-,0,10,11081,0,S
생활/주방,21,지압슬리퍼,-,7,10,36900,0,A
생활/주방,22,칫솔,-,10,10,52445,0,A
생활/주방,23,유치원졸업식꽃다발,-,8,10,20942,0,A
생활/주방,24,스탠리텀블러,-,8,10,45373,0,A
생활/주방,25,도마,-,10,10,36115,0,A
생활/주방,26,옷걸이,-,10,10,42073,0,A
생활/주방,27,치약,-,10,10,33114,0,A
생활/주방,28,졸업식꽃다발,-,9,10,40309,0,A
생활/주방,29,세면대수전,-,8,10,129790,0,A
생활/주방,30,어린이집고리수건,-,1,10,32209,0,S
생활/주방,31,건담,-,0,3,289867,0,S
생활/주방,32,마스크,-,5,10,30679,0,A
생활/주방,33,프리렌피규어,-,2,10,107488,0,S
생활/주방,34,머그컵,-,8,10,134534,0,A
생활/주방,35,강아지계단,-,7,10,78811,0,A
생활/주방,36,강아지옷,-,7,10,37681,0,A
생활/주방,37,접이식카트,-,6,10,275792,0,A
생활/주방,38,프라이팬,-,6,10,102353,0,A
생활/주방,39,체중계,-,9,10,137322,0,A
생활/주방,40,요소수,-,10,10,34184,0,A
생활/주방,41,이동식욕조,-,5,10,1893455,0,A
생활/주방,42,귀멸의칼날피규어,-,9,10,25185,0,A
생활/주방,43,돋보기안경,-,1,4,93250,0,S
생활/주방,44,오크통,-,0,10,160362,0,S
생활/주방,45,초등학생필통,-,10,10,23960,0,A
생활/주방,46,피규어,-,10,10,13583,0,A
생활/주방,47,보온도시락,-,10,10,52356,0,A
생활/주방,48,혈당측정기,-,1,4,41202,0,S
생활/주방,49,주차번호판,-,7,10,18808,0,A
생활/주방,50,전자담배,-,9,10,25185,0,A
