category,rank,keyword,change_trend,rocket_count,avg_price,min_price,max_price,price_range,avg_reviews,opportunity_score
생활/주방,1,금고,-,3,258579,21700,700000,678300,0,95
생활/주방,2,텀블러,-,10,28575,4900,48000,43100,0,50
생활/주방,3,스타벅스텀블러,-,4,93020,34980,286000,251020,0,90
생활/주방,4,비데,-,8,221155,118800,369000,250200,0,70
생활/주방,5,안마의자,-,10,2551413,295000,8490000,8195000,0,60
생활/주방,6,빨래건조대,-,8,41672,12890,68000,55110,0,70
생활/주방,7,식기건조대,-,10,90931,20440,197090,176650,0,60
생활/주방,8,분리수거함,-,5,292678,5990,939000,933010,0,85
생활/주방,9,필통,-,9,21433,4570,47040,42470,0,55
생활/주방,10,차량용방향제,-,9,32740,6490,77390,70900,0,65
