category,rank,keyword,change_trend,search_volume
출산/육아,1,초등학생책가방,-,0
출산/육아,2,물티슈,-,0
출산/육아,3,레고,-,0
출산/육아,4,키즈경량패딩,-,0
출산/육아,5,베베드피노,-,0
출산/육아,6,초등고학년책가방,-,0
출산/육아,7,포켓몬카드,-,0
출산/육아,8,휠라키즈운동화,-,0
출산/육아,9,돌반지,-,0
출산/육아,10,키즈운동화,-,0
출산/육아,11,나이키키즈운동화,-,0
출산/육아,12,뉴발란스키즈운동화,-,0
출산/육아,13,기저귀가방,-,0
출산/육아,14,낮잠이불,-,0
출산/육아,15,유치원실내화,-,0
출산/육아,16,아이스비스킷,-,0
출산/육아,17,여아한복,-,0
출산/육아,18,베베숲물티슈,-,0
출산/육아,19,캉골키즈,-,0
출산/육아,20,탯줄도장,-,0
출산/육아,21,초등실내화,-,0
출산/육아,22,몬치치,-,0
출산/육아,23,아디다스키즈운동화,-,0
출산/육아,24,쿠잉기저귀,-,0
출산/육아,25,주니어카시트,-,0
출산/육아,26,뉴발란스530,-,0
출산/육아,27,로아앤제인,-,0
출산/육아,28,아이스비스킷책가방,-,0
출산/육아,29,미아방지목걸이,-,0
출산/육아,30,백일상대여,-,0
출산/육아,31,블루독베이비,-,0
출산/육아,32,크록스바야밴드,-,0
출산/육아,33,카시트,-,0
출산/육아,34,슈슈앤크라,-,0
출산/육아,35,탑텐키즈,-,0
출산/육아,36,여아코트,-,0
출산/육아,37,고학년책가방,-,0
출산/육아,38,다마고치,-,0
출산/육아,39,어린이집파우치,-,0
출산/육아,40,노스페이스키즈패딩,-,0
출산/육아,41,빈폴키즈,-,0
출산/육아,42,스케쳐스키즈운동화,-,0
출산/육아,43,신디키즈,-,0
출산/육아,44,글로블스,-,0
출산/육아,45,임부복,-,0
출산/육아,46,어린이집방수파우치,-,0
출산/육아,47,뉴발란스키즈,-,0
출산/육아,48,폴로가디건,-,0
출산/육아,49,빈폴키즈원피스,-,0
출산/육아,50,아기침대,-,0
생활/주방,51,금고,-,0
생활/주방,52,텀블러,-,0
생활/주방,53,스타벅스텀블러,-,0
생활/주방,54,비데,-,0
생활/주방,55,빨래건조대,-,0
생활/주방,56,안마의자,-,0
생활/주방,57,식기건조대,-,0
생활/주방,58,분리수거함,-,0
생활/주방,59,필통,-,0
생활/주방,60,멀티탭,-,0
생활/주방,61,차량용방향제,-,0
생활/주방,62,수건,-,0
생활/주방,63,싱크대수전,-,0
생활/주방,64,수저세트,-,0
생활/주방,65,캣타워,-,0
생활/주방,66,샤워기헤드,-,0
생활/주방,67,지압슬리퍼,-,0
생활/주방,68,빨래바구니,-,0
생활/주방,69,세면대,-,0
생활/주방,70,칫솔,-,0
생활/주방,71,네임스티커,-,0
생활/주방,72,뉴타입,-,0
생활/주방,73,옷걸이,-,0
생활/주방,74,스탠리텀블러,-,0
생활/주방,75,도마,-,0
생활/주방,76,어린이집고리수건,-,0
생활/주방,77,치약,-,0
생활/주방,78,유치원졸업식꽃다발,-,0
생활/주방,79,세면대수전,-,0
생활/주방,80,졸업식꽃다발,-,0
생활/주방,81,머그컵,-,0
생활/주방,82,건담,-,0
생활/주방,83,마스크,-,0
생활/주방,84,오크통,-,0
생활/주방,85,프리렌피규어,-,0
생활/주방,86,강아지계단,-,0
생활/주방,87,프라이팬,-,0
